date,method,solver_success,soc_violations,power_violations,simultaneous_charge_discharge_violations,soc_transition_violations,max_abs_soc_transition_error,initial_soc_error,terminal_soc_error,nan_or_inf_count
2017-12-17,Day-week blend (w_week=0.5),True,0,0,0,0,4.490630090003833e-12,0.0,0.0,0
2017-12-18,Day-week blend (w_week=0.5),True,0,0,0,0,2.7284841053187847e-12,0.0,0.0,0
2017-12-19,Day-week blend (w_week=0.5),True,0,0,0,0,2.8421709430404007e-12,0.0,0.0,0
2017-12-20,Day-week blend (w_week=0.5),True,0,0,0,0,5.6274984672199935e-12,0.0,0.0,0
2017-12-21,Day-week blend (w_week=0.5),True,0,0,0,0,3.410605131648481e-12,0.0,0.0,0
2017-12-22,Day-week blend (w_week=0.5),True,0,0,0,0,3.353761712787673e-12,0.0,0.0,0
2017-12-23,Day-week blend (w_week=0.5),True,0,0,0,0,2.4442670110147446e-12,0.0,0.0,0
2017-12-24,Day-week blend (w_week=0.5),True,0,0,0,0,2.7853275241795927e-12,0.0,0.0,0
2017-12-25,Day-week blend (w_week=0.5),True,0,0,0,0,4.320099833421409e-12,0.0,0.0,0
2017-12-26,Day-week blend (w_week=0.5),True,0,0,0,0,1.7053025658242404e-12,0.0,0.0,0
2017-12-27,Day-week blend (w_week=0.5),True,0,0,0,0,4.263256414560601e-12,0.0,0.0,0
2017-12-28,Day-week blend (w_week=0.5),True,0,0,0,0,2.3305801732931286e-12,0.0,0.0,0
2017-12-29,Day-week blend (w_week=0.5),True,0,0,0,0,3.808509063674137e-12,0.0,0.0,0
2017-12-30,Day-week blend (w_week=0.5),True,0,0,0,0,1.2505552149377763e-12,0.0,0.0,0
2017-12-31,Day-week blend (w_week=0.5),True,0,0,0,0,7.958078640513122e-13,0.0,0.0,0
2017-12-02,Canonical LightGBM,True,0,0,0,0,4.149569576838985e-12,0.0,0.0,0
2017-12-03,Canonical LightGBM,True,0,0,0,0,1.8189894035458565e-12,0.0,0.0,0
2017-12-04,Canonical LightGBM,True,0,0,0,0,4.263256414560601e-12,0.0,0.0,0
2017-12-05,Canonical LightGBM,True,0,0,0,0,1.6484591469634324e-12,0.0,0.0,0
2017-12-06,Canonical LightGBM,True,0,0,0,0,2.1600499167107046e-12,0.0,0.0,0
2017-12-07,Canonical LightGBM,True,0,0,0,0,2.1600499167107046e-12,0.0,0.0,0
2017-12-08,Canonical LightGBM,True,0,0,0,0,3.694822225952521e-12,0.0,0.0,0
2017-12-09,Canonical LightGBM,True,0,0,0,0,7.958078640513122e-13,0.0,0.0,0
2017-12-10,Canonical LightGBM,True,0,0,0,0,3.069544618483633e-12,0.0,0.0,0
2017-12-11,Canonical LightGBM,True,0,0,0,0,5.172751116333529e-12,0.0,0.0,0
2017-12-12,Canonical LightGBM,True,0,0,0,0,2.1032064978498966e-12,0.0,0.0,0
2017-12-13,Canonical LightGBM,True,0,0,0,0,1.2505552149377763e-12,0.0,0.0,0
2017-12-14,Canonical LightGBM,True,0,0,0,0,2.8990143619012088e-12,0.0,0.0,0
2017-12-15,Canonical LightGBM,True,0,0,0,0,1.7621459846850485e-12,0.0,0.0,0
2017-12-16,Canonical LightGBM,True,0,0,0,0,1.4210854715202004e-12,0.0,0.0,0
2017-12-17,Canonical LightGBM,True,0,0,0,0,1.5916157281026244e-12,0.0,0.0,0
2017-12-18,Canonical LightGBM,True,0,0,0,0,4.320099833421409e-12,0.0,0.0,0
2017-12-19,Canonical LightGBM,True,0,0,0,0,2.5011104298755527e-12,0.0,0.0,0
2017-12-20,Canonical LightGBM,True,0,0,0,0,5.286437954055145e-12,0.0,0.0,0
2017-12-21,Canonical LightGBM,True,0,0,0,0,3.353761712787673e-12,0.0,0.0,0
2017-12-22,Canonical LightGBM,True,0,0,0,0,1.4779288903810084e-12,0.0,0.0,0
2017-12-23,Canonical LightGBM,True,0,0,0,0,9.663381206337363e-13,0.0,0.0,0
2017-12-24,Canonical LightGBM,True,0,0,0,0,3.808509063674137e-12,0.0,0.0,0
2017-12-25,Canonical LightGBM,True,0,0,0,0,2.5579538487363607e-12,0.0,0.0,0
2017-12-26,Canonical LightGBM,True,0,0,0,0,3.524291969370097e-12,0.0,0.0,0
2017-12-27,Canonical LightGBM,True,0,0,0,0,2.0463630789890885e-12,0.0,0.0,0
2017-12-28,Canonical LightGBM,True,0,0,0,0,2.6147972675971687e-12,0.0,0.0,0
2017-12-29,Canonical LightGBM,True,0,0,0,0,2.7853275241795927e-12,0.0,0.0,0
2017-12-30,Canonical LightGBM,True,0,0,0,0,1.6484591469634324e-12,0.0,0.0,0
2017-12-31,Canonical LightGBM,True,0,0,0,0,1.7621459846850485e-12,0.0,0.0,0
2017-12-02,Peak-aware LightGBM (m=2),True,0,0,0,0,3.581135388230905e-12,0.0,0.0,0
2017-12-03,Peak-aware LightGBM (m=2),True,0,0,0,0,7.958078640513122e-13,0.0,0.0,0
2017-12-04,Peak-aware LightGBM (m=2),True,0,0,0,0,1.4210854715202004e-12,0.0,0.0,0
2017-12-05,Peak-aware LightGBM (m=2),True,0,0,0,0,2.6147972675971687e-12,0.0,0.0,0
