date,method,lambda,alpha,scenario_count,residual_block_count,negative_values_clipped,sampled_indices_sha256,scenario_min_load,scenario_max_load,scenario_expected_peak,scenario_cvar_peak,stage
2017-11-24,robust_lambda_0.5,0.5000000000,0.9000000000,100,30,0,21814eac795e36fbba04e5fc024883245775e63b43688e1644c7992c1851b71e,374.2179774508,812.9040711171,449.3615882837,545.9819262356,validation_selection
2017-11-25,robust_lambda_0.5,0.5000000000,0.9000000000,100,30,0,005a041732f29605c638a31f881d1949b004a612dedf73ce016ad269a6a83e2a,366.3815161930,810.3395584344,430.4973720120,484.0254661276,validation_selection
2017-11-26,robust_lambda_0.5,0.5000000000,0.9000000000,100,30,0,a4cebfda7b387a30ef6a72c4af89e7ffa8ca5ca3433ffc38009397d05229e7c5,365.6693618798,809.8247892502,442.8432194191,508.7053176473,validation_selection
2017-11-27,robust_lambda_0.5,0.5000000000,0.9000000000,100,30,0,761cab3b51ec5d5b59e2b85ac206992ba1834ecaff86171c02911d0bcd6d0d0d,376.5106060038,811.0300131194,454.7815412474,564.1943771089,validation_selection
2017-11-28,robust_lambda_0.5,0.5000000000,0.9000000000,100,30,0,73dce5ed42a33a9d0fefab32153fb3a2c71f7d20ef16399876f2b2293a132cd3,388.8630034607,819.9524877880,476.7139636131,592.3182368207,validation_selection
2017-11-29,robust_lambda_0.5,0.5000000000,0.9000000000,100,30,0,5136e6e28db8175fbce8e7e9644a66543675d46d72fd099bac0a5a57e1ba38a1,385.2671107685,816.3565950958,471.0284995947,518.6600617585,validation_selection
2017-11-30,robust_lambda_0.5,0.5000000000,0.9000000000,100,30,0,d09735943278a140cfe26c8789cfbcd017ae57fe6376f10dd185e4af08fcbdd7,391.0983341848,822.1878185120,473.3844842870,549.3542199741,validation_selection
2017-12-01,robust_lambda_0.5,0.5000000000,0.9000000000,100,30,0,4c61bdbb8c56582fb5f1de2187f17c097b8d1cb2b84218c0c6be27060c528ccb,379.3474180027,810.4369023300,461.3097020060,536.0867759565,validation_selection
2017-11-02,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,d0dbb367106e6d0c4a492dbc468ee77065fea5bf289652ca8335940f4e51bd74,380.1379203663,811.2274046936,462.5454407232,502.4449491122,validation_selection
2017-11-03,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,9bf981bf3ee19680c9836771015db30e0763455415d044ed81920f7e9e153737,378.2862668586,809.3757511859,459.6286498613,534.3115710197,validation_selection
2017-11-04,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,c26be4ca86b4872ac4b8a3e218ff3354a7b508ffd20e878666860e5e859522aa,364.8928841409,806.0221945965,436.3701247616,485.3494181026,validation_selection
2017-11-05,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,21b79d3ef63370cf551a41e769c05d5094b1d4452150e57736e14030071500a6,360.7690309698,807.0000000000,441.2529792400,536.9742443739,validation_selection
2017-11-06,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,ca41ee442837a0fb409e21869518fb371c9537046adb0afc21894d59ebab6e2b,382.8758770907,842.0894843273,461.8554470954,620.8734860785,validation_selection
2017-11-07,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,ee636a47be34d1e0cddd6d008931ec8ca12f9f5fb0c70586754ecd8290662841,382.3236369246,813.4131212518,473.4677261680,556.7563847766,validation_selection
2017-11-08,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,1a4e52def0b92efe9dd3edb73f854f9bc4769fdff44ba12c3c46bd81908e35e9,397.3944968596,828.7250986108,471.9916695475,496.3550328152,validation_selection
2017-11-09,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,b616c864ef4a6fce30af0f19121a010fe8ed3a90aa2907b53234612f8b71f46f,398.3953917278,830.2631094414,477.8334391219,599.4899131394,validation_selection
2017-11-10,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,b7cdbce94cda00a19505661230bdce68dad5822f75494beb156da6e24befbaaa,382.8396147582,813.9290990855,472.2249915845,555.7217540342,validation_selection
2017-11-11,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,879057dd83e8ac775b5dfc8415692acb7a0f7408d3c85c368550ca57cf856300,377.0589330255,811.2639616091,448.2273636653,491.0715856114,validation_selection
2017-11-12,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,a615ce48625555050770956be892a11656ceb58b6cea1ae433c7e1df91623bbb,366.8662190073,811.9339739114,446.6415368291,505.5102389470,validation_selection
