timestamp,date,method,actual_load,forecast_load,charge,discharge,battery_power,soc_start,soc_end,soc,realized_grid_load,scenario_expected_peak,scenario_cvar_peak,solver_status
2017-12-24 01:00:00,2017-12-24,LightGBM robust,390.0000000000,426.1699883000,4.9615516764,0.0000000000,4.9615516764,371.5129472822,376.2198884900,376.2198884900,394.9615516764,449.2683499662,551.8189901668,0: optimal
2017-12-24 02:00:00,2017-12-24,LightGBM robust,388.0000000000,425.9670582586,0.0000000000,183.1943748796,-183.1943748796,376.2198884900,183.1160621066,183.1160621066,204.8056251204,449.2683499662,551.8189901668,0: optimal
2017-12-24 03:00:00,2017-12-24,LightGBM robust,390.0000000000,414.4256254891,16.9945035185,0.0000000000,16.9945035185,183.1160621066,199.2384637533,199.2384637533,406.9945035185,449.2683499662,551.8189901668,0: optimal
2017-12-24 04:00:00,2017-12-24,LightGBM robust,387.0000000000,413.2559673353,20.1199014103,0.0000000000,20.1199014103,199.2384637533,218.3258781797,218.3258781797,407.1199014103,449.2683499662,551.8189901668,0: optimal
2017-12-24 05:00:00,2017-12-24,LightGBM robust,386.0000000000,416.5408092900,17.2912576418,0.0000000000,17.2912576418,218.3258781797,234.7298055068,234.7298055068,403.2912576418,449.2683499662,551.8189901668,0: optimal
2017-12-24 06:00:00,2017-12-24,LightGBM robust,387.0000000000,414.4092549125,18.1254613358,0.0000000000,18.1254613358,234.7298055068,251.9251279455,251.9251279455,405.1254613358,449.2683499662,551.8189901668,0: optimal
2017-12-24 07:00:00,2017-12-24,LightGBM robust,385.0000000000,415.6440759010,16.6528814181,0.0000000000,16.6528814181,251.9251279455,267.7234384113,267.7234384113,401.6528814181,449.2683499662,551.8189901668,0: optimal
2017-12-24 08:00:00,2017-12-24,LightGBM robust,388.0000000000,420.8674029901,12.5962321838,0.0000000000,12.5962321838,267.7234384113,279.6732735024,279.6732735024,400.5962321838,449.2683499662,551.8189901668,0: optimal
2017-12-24 09:00:00,2017-12-24,LightGBM robust,389.0000000000,417.0638801691,15.6269161763,0.0000000000,15.6269161763,279.6732735024,294.4982678789,294.4982678789,404.6269161763,449.2683499662,551.8189901668,0: optimal
2017-12-24 10:00:00,2017-12-24,LightGBM robust,387.0000000000,420.7235266810,10.1722886171,0.0000000000,10.1722886171,294.4982678789,304.1485481929,304.1485481929,397.1722886171,449.2683499662,551.8189901668,0: optimal
2017-12-24 11:00:00,2017-12-24,LightGBM robust,387.0000000000,419.7217488045,3.8132267749,0.0000000000,3.8132267749,304.1485481929,307.7660927459,307.7660927459,390.8132267749,449.2683499662,551.8189901668,0: optimal
2017-12-24 12:00:00,2017-12-24,LightGBM robust,389.0000000000,420.6993374465,8.0065905933,0.0000000000,8.0065905933,307.7660927459,315.3618115162,315.3618115162,397.0065905933,449.2683499662,551.8189901668,0: optimal
2017-12-24 13:00:00,2017-12-24,LightGBM robust,391.0000000000,424.4436946215,5.7867072416,0.0000000000,5.7867072416,315.3618115162,320.8515640270,320.8515640270,396.7867072416,449.2683499662,551.8189901668,0: optimal
2017-12-24 14:00:00,2017-12-24,LightGBM robust,394.0000000000,424.0385537026,1.5084698277,0.0000000000,1.5084698277,320.8515640270,322.2826241581,322.2826241581,395.5084698277,449.2683499662,551.8189901668,0: optimal
2017-12-24 15:00:00,2017-12-24,LightGBM robust,392.0000000000,424.3360147632,0.0000000000,3.1793193765,-3.1793193765,322.2826241581,318.9313272785,318.9313272785,388.8206806235,449.2683499662,551.8189901668,0: optimal
2017-12-24 16:00:00,2017-12-24,LightGBM robust,393.0000000000,423.9707427152,1.5584800478,0.0000000000,1.5584800478,318.9313272785,320.4098312703,320.4098312703,394.5584800478,449.2683499662,551.8189901668,0: optimal
2017-12-24 17:00:00,2017-12-24,LightGBM robust,394.0000000000,421.7963549961,3.9934275550,0.0000000000,3.9934275550,320.4098312703,324.1983292937,324.1983292937,397.9934275550,449.2683499662,551.8189901668,0: optimal
2017-12-24 18:00:00,2017-12-24,LightGBM robust,391.0000000000,421.8294161318,3.2667318761,0.0000000000,3.2667318761,324.1983292937,327.2974232638,327.2974232638,394.2667318761,449.2683499662,551.8189901668,0: optimal
2017-12-24 19:00:00,2017-12-24,LightGBM robust,390.0000000000,425.8780478894,4.0731892772,0.0000000000,4.0731892772,327.2974232638,331.1615899009,331.1615899009,394.0731892772,449.2683499662,551.8189901668,0: optimal
2017-12-24 20:00:00,2017-12-24,LightGBM robust,394.0000000000,424.7163398147,5.1186092801,0.0000000000,5.1186092801,331.1615899009,336.0175290341,336.0175290341,399.1186092801,449.2683499662,551.8189901668,0: optimal
2017-12-24 21:00:00,2017-12-24,LightGBM robust,395.0000000000,420.3608595270,11.3752821584,0.0000000000,11.3752821584,336.0175290341,346.8090692284,346.8090692284,406.3752821584,449.2683499662,551.8189901668,0: optimal
2017-12-24 22:00:00,2017-12-24,LightGBM robust,388.0000000000,422.2151677658,10.9105062843,0.0000000000,10.9105062843,346.8090692284,357.1596843136,357.1596843136,398.9105062843,449.2683499662,551.8189901668,0: optimal
2017-12-24 23:00:00,2017-12-24,LightGBM robust,387.0000000000,420.6783733158,9.7282891610,0.0000000000,9.7282891610,357.1596843136,366.3887497592,366.3887497592,396.7282891610,449.2683499662,551.8189901668,0: optimal
2017-12-25 00:00:00,2017-12-25,LightGBM robust,387.0000000000,420.9198615655,19.7324518684,0.0000000000,19.7324518684,366.3887497592,385.1085972764,385.1085972764,406.7324518684,450.3613795270,502.9524836912,0: optimal
2017-12-25 01:00:00,2017-12-25,LightGBM robust,385.0000000000,420.6049049038,16.7382146545,0.0000000000,16.7382146545,385.1085972764,400.9878619583,400.9878619583,401.7382146545,450.3613795270,502.9524836912,0: optimal
2017-12-25 02:00:00,2017-12-25,LightGBM robust,386.0000000000,420.0375812343,0.0000000000,0.0000000000,0.0000000000,400.9878619583,400.9878619583,400.9878619583,386.0000000000,450.3613795270,502.9524836912,0: optimal
2017-12-25 03:00:00,2017-12-25,LightGBM robust,387.0000000000,418.6214022371,21.0823734824,0.0000000000,21.0823734824,400.9878619583,420.9883575643,420.9883575643,408.0823734824,450.3613795270,502.9524836912,0: optimal
2017-12-25 04:00:00,2017-12-25,LightGBM robust,387.0000000000,413.6745186568,29.1642189187,0.0000000000,29.1642189187,420.9883575643,448.6559649532,448.6559649532,416.1642189187,450.3613795270,502.9524836912,0: optimal
2017-12-25 05:00:00,2017-12-25,LightGBM robust,385.0000000000,418.4847226799,22.5275694968,0.0000000000,22.5275694968,448.6559649532,470.0274938805,470.0274938805,407.5275694968,450.3613795270,502.9524836912,0: optimal
2017-12-25 06:00:00,2017-12-25,LightGBM robust,385.0000000000,418.9656278124,23.0319572658,0.0000000000,23.0319572658,470.0274938805,491.8775270600,491.8775270600,408.0319572658,450.3613795270,502.9524836912,0: optimal
2017-12-25 07:00:00,2017-12-25,LightGBM robust,382.0000000000,419.7302490861,20.8153583651,0.0000000000,20.8153583651,491.8775270600,511.6247098839,511.6247098839,402.8153583651,450.3613795270,502.9524836912,0: optimal
2017-12-25 08:00:00,2017-12-25,LightGBM robust,384.0000000000,428.1132473746,13.0568997940,0.0000000000,13.0568997940,511.6247098839,524.0115726427,524.0115726427,397.0568997940,450.3613795270,502.9524836912,0: optimal
2017-12-25 09:00:00,2017-12-25,LightGBM robust,384.0000000000,431.7447667886,8.6525415515,0.0000000000,8.6525415515,524.0115726427,532.2200942983,532.2200942983,392.6525415515,450.3613795270,502.9524836912,0: optimal
2017-12-25 10:00:00,2017-12-25,LightGBM robust,385.0000000000,447.3152764915,0.0000000000,10.2035454333,-10.2035454333,532.2200942983,521.4646130390,521.4646130390,374.7964545667,450.3613795270,502.9524836912,0: optimal
2017-12-25 11:00:00,2017-12-25,LightGBM robust,385.0000000000,458.9129515663,0.0000000000,29.1620602268,-29.1620602268,521.4646130390,490.7251025125,490.7251025125,355.8379397732,450.3613795270,502.9524836912,0: optimal
2017-12-25 12:00:00,2017-12-25,LightGBM robust,388.0000000000,457.9216059317,0.0000000000,22.9997621318,-22.9997621318,490.7251025125,466.4812245196,466.4812245196,365.0002378682,450.3613795270,502.9524836912,0: optimal
2017-12-25 13:00:00,2017-12-25,LightGBM robust,390.0000000000,457.3817773205,0.0000000000,18.9027253253,-18.9027253253,466.4812245196,446.5560025155,446.5560025155,371.0972746747,450.3613795270,502.9524836912,0: optimal
2017-12-25 14:00:00,2017-12-25,LightGBM robust,389.0000000000,459.2894275265,0.0000000000,25.4937538641,-25.4937538641,446.5560025155,419.6832264093,419.6832264093,363.5062461359,450.3613795270,502.9524836912,0: optimal
2017-12-25 15:00:00,2017-12-25,LightGBM robust,387.0000000000,455.2965105835,0.0000000000,25.8911650648,-25.8911650648,419.6832264093,392.3915421160,392.3915421160,361.1088349352,450.3613795270,502.9524836912,0: optimal
