date,controller,battery_size,original_peak,realized_peak,peak_reduction,peak_reduction_pct,total_charge,total_discharge,throughput,initial_soc,initial_soc_error,terminal_soc,terminal_soc_error,forecast_peak,solver_status
2017-12-02,Oracle,Medium,426.0000000000,416.0176211454,9.9823788546,2.3432814213,64.2290748899,57.8061674009,122.0352422907,366.3887497592,0.0000000000,366.3887497592,0.0000000000,416.0176211454,0: optimal
2017-12-03,Oracle,Medium,432.0000000000,417.8201754386,14.1798245614,3.2823667966,86.8421052632,78.1578947368,165.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,417.8201754386,0: optimal
2017-12-04,Oracle,Medium,465.0000000000,432.9868995633,32.0131004367,6.8845377283,276.8558951965,249.1703056769,526.0262008734,366.3887497592,0.0000000000,366.3887497592,0.0000000000,432.9868995633,0: optimal
2017-12-05,Oracle,Medium,471.0000000000,440.9559471366,30.0440528634,6.3787798012,249.4273127753,224.4845814978,473.9118942731,366.3887497592,0.0000000000,366.3887497592,0.0000000000,440.9559471366,0: optimal
2017-12-06,Oracle,Medium,475.0000000000,440.4247787611,34.5752212389,7.2789939450,261.9469026549,235.7522123894,497.6991150442,366.3887497592,0.0000000000,366.3887497592,0.0000000000,440.4247787611,0: optimal
2017-12-07,Oracle,Medium,483.0000000000,440.6150442478,42.3849557522,8.7753531578,307.6106194690,276.8495575221,584.4601769911,366.3887497592,0.0000000000,366.3887497592,0.0000000000,440.6150442478,0: optimal
2017-12-08,Oracle,Medium,483.0000000000,441.4493392070,41.5506607930,8.6026212822,297.8414096916,268.0572687225,565.8986784141,366.3887497592,0.0000000000,366.3887497592,0.0000000000,441.4493392070,0: optimal
2017-12-09,Oracle,Medium,432.0000000000,416.2444444444,15.7555555556,3.6471193416,78.6666666667,70.8000000000,149.4666666667,366.3887497592,0.0000000000,366.3887497592,0.0000000000,416.2444444444,0: optimal
2017-12-10,Oracle,Medium,429.0000000000,415.8421052632,13.1578947368,3.0671083303,92.1052631579,82.8947368421,175.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,415.8421052632,0: optimal
2017-12-11,Oracle,Medium,469.0000000000,436.5198237885,32.4801762115,6.9254107061,284.7577092511,256.2819383260,541.0396475771,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.5198237885,0: optimal
2017-12-12,Oracle,Medium,468.0000000000,436.0486725664,31.9513274336,6.8272067166,251.6814159292,226.5132743363,478.1946902655,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.0486725664,0: optimal
2017-12-13,Oracle,Medium,477.0000000000,437.0929203540,39.9070796460,8.3662640767,292.3008849558,263.0707964602,555.3716814159,366.3887497592,0.0000000000,366.3887497592,0.0000000000,437.0929203540,0: optimal
