experiment,setting,date,controller,battery_size,solver_success,soc_violations,power_violations,simultaneous_charge_discharge_violations,initial_soc_error,terminal_soc_error,initial_soc_violations,terminal_soc_violations
capacity_sensitivity,0.7500,2017-12-19,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-20,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-21,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-22,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-23,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-24,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-25,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-26,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-27,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-28,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-29,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-30,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-31,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-02,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-03,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-04,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-05,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-06,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-07,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-08,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-09,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-10,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-11,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-12,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-13,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-14,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-15,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-16,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-17,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-18,LightGBM,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
