building,split,method,MAE,RMSE,MAPE,bias,actual_p75,peak_quartile_MAE,peak_quartile_bias,daily_peak_hour_MAE,daily_peak_hour_exact_rate,daily_top3_overlap,peak_region_threshold,peak_region_MAE,peak_region_RMSE,normalized_MAE,normalized_RMSE,normalized_peak_region_MAE,normalized_peak_region_RMSE
Lamb_office_Caitlin,test,CatBoost,11.928237402977594,15.53995672224092,34.48015443879936,-5.492261588226872,98.0625,17.433610940757703,-16.20761787962083,1.9333333333333333,0.26666666666666666,0.6,98.0625,17.433610940757703,22.258589534988385,0.5549488167830098,0.722980294952382,0.811080584413398,1.035557686219174
Lamb_office_Caitlin,test,Phase8_DOEF,8.73067941137014,13.437871826082622,28.479871806666768,-1.7822370124272273,98.0625,16.033071098088982,-14.577795880721103,2.6,0.23333333333333334,0.6,98.0625,16.033071098088982,21.887944847875414,0.40618576285564095,0.6251829853843077,0.7459219274979637,1.018313828337128
Lamb_office_Caitlin,test,PeakAwareLightGBM,9.203510377755356,13.778734747825919,25.803854668049308,-3.1410254322007014,98.0625,17.102060632343946,-16.237105962012492,2.533333333333333,0.23333333333333334,0.5555555555555555,98.0625,17.102060632343946,22.662622070403128,0.42818373090986,0.6410412776630497,0.79565555176672,1.0543548789556534
Robin_office_Addie,test,Persistence,2.9948611111111108,4.459264700224317,26.201787842437703,0.08624999999999995,17.625,3.268888888888889,-2.1333333333333333,5.0,0.06666666666666667,0.25555555555555554,17.625,3.268888888888889,4.832873541348529,0.1430966589697694,0.21306693579095196,0.15618990704041616,0.2309182400561462
Robin_office_Addie,test,Day,2.9948611111111108,4.459264700224317,26.201787842437703,0.08624999999999995,17.625,3.268888888888889,-2.1333333333333333,5.0,0.06666666666666667,0.25555555555555554,17.625,3.268888888888889,4.832873541348529,0.1430966589697694,0.21306693579095196,0.15618990704041616,0.2309182400561462
Robin_office_Addie,test,Week,3.4722222222222223,4.465637319203908,29.959184413894924,1.0786111111111112,17.625,2.616666666666667,-0.22555555555555537,5.433333333333334,0.1,0.34444444444444444,17.625,2.616666666666667,3.1845809073652935,0.1659053227400749,0.21337142419660243,0.1250262512169205,0.15216160988975605
Robin_office_Addie,test,DayWeek,2.6324305555555556,3.3854955119023735,23.651148670422327,0.5824305555555556,17.625,2.3994444444444447,-1.1794444444444445,4.4,0.1,0.3,17.625,2.3994444444444447,3.0250344350657126,0.1257794613821604,0.16176145695472466,0.11464721422630139,0.14453836250383217
Robin_office_Addie,test,LightGBM,2.8409720822557145,3.827321840021551,29.13459935740051,1.83708924028531,17.625,1.703165821100561,0.11464976041312937,5.5,0.1,0.27777777777777773,17.625,1.703165821100561,2.039150758375568,0.13574372837822699,0.18287224274848687,0.08137851126611134,0.09743211782898253
Robin_office_Addie,test,XGBoost,3.1072407595316576,4.051020670627421,31.881009330040893,2.2727602582507664,17.625,1.817986502117581,0.12920368088616263,4.766666666666667,0.03333333333333333,0.27777777777777773,17.625,1.817986502117581,2.1220437856421497,0.14846624093986996,0.19356073683470124,0.08686472756282414,0.10139280742815299
Robin_office_Addie,test,CatBoost,2.843273639142827,3.8106084132889175,29.654923556468106,1.7353284462386331,17.625,1.4102197820758966,-0.6376555609307606,5.733333333333333,0.0,0.28888888888888886,17.625,1.4102197820758966,1.7984097903456924,0.13585369845321735,0.18207366296910987,0.06738133480696505,0.08592933792562922
Robin_office_Addie,test,Phase8_DOEF,2.8409720822557145,3.827321840021551,29.13459935740051,1.83708924028531,17.625,1.703165821100561,0.11464976041312937,5.5,0.1,0.27777777777777773,17.625,1.703165821100561,2.039150758375568,0.13574372837822699,0.18287224274848687,0.08137851126611134,0.09743211782898253
Robin_office_Addie,test,PeakAwareLightGBM,2.8409720822557145,3.827321840021551,29.13459935740051,1.83708924028531,17.625,1.703165821100561,0.11464976041312937,5.5,0.1,0.27777777777777773,17.625,1.703165821100561,2.039150758375568,0.13574372837822699,0.18287224274848687,0.08137851126611134,0.09743211782898253
Lamb_office_Gerardo,test,Persistence,5.005041666666666,9.873221478378326,40.74620189607698,0.5113194444444443,21.475,9.468499999999999,-5.646055555555555,2.5,0.36666666666666664,0.5333333333333332,21.475,9.468499999999999,14.34704543722427,0.5857434507216275,1.1554698649163846,1.1081050333895448,1.6790445438302497
Lamb_office_Gerardo,test,Day,5.005041666666666,9.873221478378326,40.74620189607698,0.5113194444444443,21.475,9.468499999999999,-5.646055555555555,2.5,0.36666666666666664,0.5333333333333332,21.475,9.468499999999999,14.34704543722427,0.5857434507216275,1.1554698649163846,1.1081050333895448,1.6790445438302497
Lamb_office_Gerardo,test,Week,5.2271925,9.68848910684593,45.58776093563713,1.4695019444444446,21.475,7.239223888888888,-1.6694461111111114,3.7,0.16666666666666666,0.5222222222222223,21.475,7.239223888888888,12.747897591073595,0.6117419147432095,1.1338505090812432,0.8472113248256442,1.4918951772512126
Lamb_office_Gerardo,test,DayWeek,4.456230416666666,7.746819130987193,37.845652070217625,0.9904106944444444,21.475,7.332195277777777,-3.657750833333333,2.8,0.3,0.48888888888888893,21.475,7.332195277777777,11.968060968948075,0.5215156946350448,0.9066155433073168,0.8580918300787461,1.4006303637961997
Lamb_office_Gerardo,test,LightGBM,2.874078621623744,4.241482708365726,26.988520741470463,1.2166686397225823,21.475,4.379754995790131,-1.6748508309535122,2.6666666666666665,0.36666666666666664,0.5,21.475,4.379754995790131,5.594617911551641,0.3363553875459213,0.4963836234012547,0.5125657238050431,0.6547419620511884
Lamb_office_Gerardo,test,XGBoost,3.0676821338600577,4.617242705404181,29.011880236443638,1.156829572174284,21.475,4.48157629330953,-2.483549786249797,2.8,0.36666666666666664,0.5000000000000001,21.475,4.48157629330953,5.883730984857832,0.3590129390473158,0.5403590729513158,0.52448193992032,0.6885770628326543
