date,controller,battery_size,original_peak,realized_peak,peak_reduction,peak_reduction_pct,total_charge,total_discharge,throughput,initial_soc,initial_soc_error,terminal_soc,terminal_soc_error,forecast_peak,solver_status
2017-12-05,Persistence,Small,471.0000000000,463.3830901578,7.6169098422,1.6171783104,174.6323315801,157.1690984221,331.8014300022,183.1943748796,0.0000000000,183.1943748796,0.0000000000,441.3830901578,0: optimal
2017-12-06,Persistence,Small,475.0000000000,457.8319090554,17.1680909446,3.6143349357,202.9787882730,182.6809094457,385.6596977187,183.1943748796,0.0000000000,183.1943748796,0.0000000000,444.8319090554,0: optimal
2017-12-07,Persistence,Small,483.0000000000,452.8503856621,30.1496143379,6.2421561776,223.8846037550,201.4961433795,425.3807471344,183.1943748796,0.0000000000,183.1943748796,0.0000000000,443.8503856621,0: optimal
2017-12-08,Persistence,Small,483.0000000000,455.8062680150,27.1937319850,5.6301722536,227.7081331667,204.9373198500,432.6454530168,183.1943748796,0.0000000000,183.1943748796,0.0000000000,447.8062680150,0: optimal
2017-12-09,Persistence,Small,432.0000000000,445.5529811114,-13.5529811114,-3.1372641462,242.2479666638,218.0231699974,460.2711366611,183.1943748796,0.0000000000,183.1943748796,0.0000000000,446.5529811114,0: optimal
2017-12-10,Persistence,Small,429.0000000000,424.2444444444,4.7555555556,1.1085211085,78.6666666667,70.8000000000,149.4666666667,183.1943748796,0.0000000000,183.1943748796,0.0000000000,416.2444444444,0: optimal
2017-12-11,Persistence,Small,469.0000000000,466.8421052632,2.1578947368,0.4601054876,92.1052631579,82.8947368421,175.0000000000,183.1943748796,0.0000000000,183.1943748796,0.0000000000,415.8421052632,0: optimal
2017-12-12,Persistence,Small,468.0000000000,449.0448607146,18.9551392854,4.0502434371,210.6625039651,189.5962535686,400.2587575337,183.1943748796,0.0000000000,183.1943748796,0.0000000000,443.0448607146,0: optimal
2017-12-13,Persistence,Small,477.0000000000,454.6812680150,22.3187319850,4.6789794518,200.2081331667,180.1873198500,380.3954530168,183.1943748796,0.0000000000,183.1943748796,0.0000000000,440.6812680150,0: optimal
2017-12-14,Persistence,Small,471.0000000000,455.8147019844,15.1852980156,3.2240547804,220.7418690445,198.6676821400,419.4095511845,183.1943748796,0.0000000000,183.1943748796,0.0000000000,443.8147019844,0: optimal
2017-12-15,Persistence,Small,476.0000000000,450.7106797797,25.2893202203,5.3128823992,194.3257802255,174.8932022030,369.2189824285,183.1943748796,0.0000000000,183.1943748796,0.0000000000,443.7106797797,0: optimal
2017-12-16,Persistence,Small,425.0000000000,437.0196477781,-12.0196477781,-2.8281524184,217.5812999971,195.8231699974,413.4044699945,183.1943748796,0.0000000000,183.1943748796,0.0000000000,441.0196477781,0: optimal
2017-12-17,Persistence,Small,423.0000000000,416.1504424779,6.8495575221,1.6192807381,76.1061946903,68.4955752212,144.6017699115,183.1943748796,0.0000000000,183.1943748796,0.0000000000,412.1504424779,0: optimal
2017-12-18,Persistence,Small,462.0000000000,457.3612334802,4.6387665198,1.0040620173,76.6960352423,69.0264317181,145.7224669604,183.1943748796,0.0000000000,183.1943748796,0.0000000000,411.3612334802,0: optimal
2017-12-19,Persistence,Small,467.0000000000,454.5415621326,12.4584378674,2.6677597146,190.6493096373,171.5843786736,362.2336883109,183.1943748796,0.0000000000,183.1943748796,0.0000000000,437.5415621326,0: optimal
2017-12-20,Persistence,Small,461.0000000000,444.9312680150,16.0687319850,3.4856251594,195.2081331667,175.6873198500,370.8954530168,183.1943748796,0.0000000000,183.1943748796,0.0000000000,442.9312680150,0: optimal
2017-12-21,Persistence,Small,460.0000000000,438.7743362832,21.2256637168,4.6142747210,195.8407079646,176.2566371681,372.0973451327,183.1943748796,0.0000000000,183.1943748796,0.0000000000,435.7743362832,0: optimal
2017-12-22,Persistence,Small,444.0000000000,443.8733755477,0.1266244523,0.0285190208,207.1031877499,186.3928689749,393.4960567249,183.1943748796,0.0000000000,183.1943748796,0.0000000000,432.8733755477,0: optimal
